Start(s),Pitch(Hz),Probability[0-1.0],Source
10.98304,339.37354,0.95878,TARSOS_YIN
11.00626,330.05713,0.80747,TARSOS_YIN
11.02948,336.46027,0.83879,TARSOS_YIN
11.0527,327.06976,0.86918,TARSOS_YIN
11.07592,344.59433,0.82408,TARSOS_YIN
11.09914,340.84027,0.90602,TARSOS_YIN
11.14558,276.05167,0.89018,TARSOS_YIN
11.1688,266.51892,0.89399,TARSOS_YIN
11.19202,265.3746,0.90983,TARSOS_YIN
11.21524,269.82217,0.98241,TARSOS_YIN
11.23846,273.41263,0.99824,TARSOS_YIN
11.26168,275.37482,0.99859,TARSOS_YIN
11.2849,276.92813,0.99772,TARSOS_YIN
11.30812,278.92642,0.99638,TARSOS_YIN
11.33134,280.01334,0.99681,TARSOS_YIN
11.35456,276.47256,0.99176,TARSOS_YIN
11.37778,272.41882,0.91424,TARSOS_YIN
11.49388,289.57025,0.89909,TARSOS_YIN
11.5171,273.66922,0.83084,TARSOS_YIN
11.6332,288.13519,0.95209,TARSOS_YIN
11.65642,282.81384,0.99398,TARSOS_YIN
11.67964,281.00479,0.9943,TARSOS_YIN
11.70286,281.28723,0.99457,TARSOS_YIN
11.72608,282.56601,0.99411,TARSOS_YIN
11.7493,280.91635,0.97768,TARSOS_YIN
11.77252,277.13678,0.97639,TARSOS_YIN
11.79574,284.62747,0.99485,TARSOS_YIN
11.81896,290.505,0.98923,TARSOS_YIN
11.84218,306.83228,0.96105,TARSOS_YIN
11.91184,354.77994,0.89142,TARSOS_YIN
11.93506,364.88916,0.98782,TARSOS_YIN
11.95828,375.95688,0.99051,TARSOS_YIN
11.9815,379.01227,0.99709,TARSOS_YIN
12.00472,379.98831,0.99791,TARSOS_YIN
12.02794,383.96622,0.99615,TARSOS_YIN
12.05116,382.48413,0.99663,TARSOS_YIN
12.07438,378.23767,0.98955,TARSOS_YIN
12.0976,368.49463,0.97015,TARSOS_YIN
12.12082,368.77762,0.99667,TARSOS_YIN
12.14404,359.20273,0.94795,TARSOS_YIN
12.16726,379.32648,0.93108,TARSOS_YIN
12.26014,346.07162,0.97402,TARSOS_YIN
12.28336,336.62888,0.99146,TARSOS_YIN
12.30658,335.01202,0.99357,TARSOS_YIN
12.3298,336.95044,0.99612,TARSOS_YIN
12.35302,336.71408,0.99723,TARSOS_YIN
12.37624,338.69772,0.99676,TARSOS_YIN
12.39946,337.28241,0.99697,TARSOS_YIN
12.42268,337.67484,0.99615,TARSOS_YIN
12.4459,335.96201,0.99618,TARSOS_YIN
12.46912,335.78583,0.9961,TARSOS_YIN
12.49234,336.36285,0.99645,TARSOS_YIN
12.51556,336.28046,0.99477,TARSOS_YIN
12.53878,338.48489,0.99569,TARSOS_YIN
12.562,339.595,0.99475,TARSOS_YIN
12.58522,339.51913,0.99559,TARSOS_YIN
12.60844,339.43304,0.99656,TARSOS_YIN
12.63166,336.80826,0.99536,TARSOS_YIN
12.65488,329.36874,0.99236,TARSOS_YIN
12.67809,308.27878,0.95319,TARSOS_YIN
12.70131,279.23227,0.96635,TARSOS_YIN
12.72453,267.43369,0.96996,TARSOS_YIN
12.74776,260.58865,0.9728,TARSOS_YIN
12.77098,266.16599,0.96001,TARSOS_YIN
12.84064,267.16507,0.82595,TARSOS_YIN
12.86385,271.51761,0.85941,TARSOS_YIN
12.88707,267.13132,0.89457,TARSOS_YIN
12.91029,275.13266,0.92045,TARSOS_YIN
13.28181,346.32172,0.90096,TARSOS_YIN
13.30503,339.05438,0.98601,TARSOS_YIN
13.32825,334.88303,0.98437,TARSOS_YIN
13.35147,328.16202,0.98451,TARSOS_YIN
13.37469,325.23065,0.99334,TARSOS_YIN
13.39791,323.64951,0.9919,TARSOS_YIN
13.42113,321.74521,0.99472,TARSOS_YIN
13.44435,324.39133,0.99106,TARSOS_YIN
13.46757,328.51791,0.99152,TARSOS_YIN
13.49079,331.46719,0.9948,TARSOS_YIN
13.51401,332.57932,0.99557,TARSOS_YIN
13.53723,331.52277,0.99568,TARSOS_YIN
13.56045,334.03296,0.99676,TARSOS_YIN
13.58367,335.42374,0.99598,TARSOS_YIN
13.60689,335.51361,0.99663,TARSOS_YIN
13.63011,333.8118,0.99771,TARSOS_YIN
13.65333,333.28177,0.99721,TARSOS_YIN
13.67655,331.72604,0.99613,TARSOS_YIN
